work_id,doi,year,venue,title,direction_HEURISTIC_REJECTED,has_abstract,basis,status
W4409177854,10.1007/978-981-96-3236-7_25,2025,Applied economics and policy studies,Impact of Housing Prices on Fertility Rates in China: An Empirical Analysis,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4200505139,10.33423/jabe.v23i6.4646,2021,Journal of Applied Business and Economics,The Impact of Housing Prices on Birth Rates in China,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4408787615,10.17208/jkpa.2025.02.60.1.127,2025,국토계획,The Effects of Housing Market Volatility on the Fertility Rate,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4323341744,10.12677/mm.2023.133026,2023,Modern Management,Live in Peace and Enjoy Education: Research on the Impact of Housing Property Rights on Fertility Intention,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4387428114,10.1007/978-981-99-6441-3_92,2023,Applied economics and policy studies,Research on the Birth Inhibition Effect of House Prices in China-A Tianjin-Beijing-Hebei Regional Case Study,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W7124295374,10.52344/hfr.2025.9.2.69,2025,Housing Finance Research,Analysis on the Direct and Indirect Effects of Housing Price Changes on Birth,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3122685948,10.1080/17538963.2015.1080907,2015,China Economic Journal,Fertility and housing,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2884660070,10.2991/icmess-18.2018.173,2018,"Proceedings of the 2018 2nd International Conference on Management, Education and Social Science (ICMESS 2018)",A Study of the Spatio-Temporal Correlation of Housing Prices and Fertility Rate in China,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2081775216,10.1111/j.1465-7295.2009.00213.x,2010,Economic Inquiry,THE EFFECT OF HOUSE PRICE ON FERTILITY: EVIDENCE FROM HONG KONG,NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3024244835,10.1016/j.jpubeco.2013.09.009,2013,Journal of Public Economics,House prices and birth rates: The impact of the real estate market on the decision to have a baby,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3023795878,10.1177/0160017620922885,2020,International Regional Science Review,Do House Prices Affect Fertility Behavior in China? An Empirical Examination,NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3037455063,10.1016/j.jpubeco.2021.104366,2021,Journal of Public Economics,"Home prices, fertility, and early-life health outcomes",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3121393843,10.5018/economics-ejournal.ja.2019-38,2015,DOAJ (DOAJ: Directory of Open Access Journals),The Effect of House Prices on Fertility: Evidence from Canada,POSITIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3125001667,10.1177/0042098015615742,2015,Urban Studies,Do housing options affect child birth decisions? Evidence from Taiwan,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4395481274,10.1002/psp.2787,2024,Population Space and Place,House prices and fertility: Can the Dutch housing crisis explain the post‐2010 fertility decline?,NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2224046657,,2014,Repositori digital de la UPF (Universitat Pompeu Fabra),"Homes and husbands for all: Marriage, housing and the baby boom",UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4399107829,10.1016/j.labeco.2024.102572,2024,Labour Economics,"Do surging house prices discourage fertility? Global evidence, 1870–2012",NEGATIVE,False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4395680672,10.2139/ssrn.4808554,2024,SSRN Electronic Journal,The Effect of House Prices on Fertility: Evidence from House Purchase Restrictions,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3144108245,10.2991/aebmr.k.210319.115,2021,"Advances in economics, business and management research/Advances in Economics, Business and Management Research",Housing Purchase Restriction and Birth Rates: An Unintended Consequence of Governmental Intervention,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3023836900,10.1016/j.regsciurbeco.2008.08.002,2008,Regional Science and Urban Economics,"Do higher rents discourage fertility? Evidence from U.S. cities, 1940–2000",NEGATIVE,False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2470035674,10.1080/00779954.2016.1199591,2016,New Zealand Economic Papers,The effect of the price or rental cost of housing on family size: a theoretical analysis with reference to New Zealand,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W7134116679,10.2139/ssrn.6274479,2026,SSRN Electronic Journal,"Working from Home, Land Rents, and Fertility",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2949452997,10.1016/j.jpolmod.2019.05.008,2019,Journal of Policy Modeling,The long-term consequences of youth housing for childbearing and higher education,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4308203433,10.17208/jkpa.2022.10.57.5.136,2022,국토계획,The Effect of Public Rental Housing on Birth Interval of Newlyweds and Policy Implications,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2132599910,10.4054/demres.2007.17.26,2007,Demographic Research,Fertility differences by housing type,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2125780906,10.1002/psp.1716,2012,Population Space and Place,A Home to Plan the First Child? Fertility Intentions and Housing Conditions in Italy,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2086486830,10.1086/225997,1975,American Journal of Sociology,The Fertility-Inhibiting Effect of Crowded Apartment Living in a Tight Housing Market,NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3121328306,10.4054/mpidr-wp-2007-014,2007,,Fertility differences by housing type: an effect of housing conditions or of selective moves?,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2800948146,10.1080/02673037.2018.1458288,2018,Housing Studies,Housing context and childbearing in Sweden: a cohort study,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2034024285,10.1080/19485565.1995.9988902,1995,Social Biology,Effects of multi‐family housing on marital fertility in Iran: Population policy implications,NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W315042448,,1977,Sociology and social research,"Mobility, Fertility, and Residential Crowding.",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2093798293,10.2307/2061200,1978,Demography,"The relationship between apartment living and fertility for blacks, Mexican-Americans, and other Americans in Racine, Wisconsin",POSITIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W1645904186,,2015,RePEc: Research Papers in Economics,"Youth dwellings, higher education, and childbearing",NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4292263755,10.12677/orf.2022.123112,2022,Operations Research and Fuzziology,The Influence of Housing Conditions on Childbearing Willingness of Childbearing Age Groups—Empirical Analysis from CSS2019 Data,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W1544462608,10.1080/02673031003711519,2010,Housing Studies,"Housing and First Births in Sweden, 1972–2005",UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3175165566,10.1016/j.jhe.2021.101787,2021,Journal of Housing Economics,"Housing wealth, fertility intentions and fertility",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3217487213,10.1007/s00148-021-00879-6,2021,Journal of Population Economics,Housing wealth and fertility: evidence from China,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4206976708,10.1177/01600176211066472,2022,International Regional Science Review,Impacts of Housing Booms on Fertility in China: A Perspective From Homeownership,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2227602512,,2015,Economics bulletin,The Effects of Housing Wealth on Fertility Decisions: Evidence from Japan,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W1693336056,10.1007/s11150-016-9355-8,2017,Review of Economics of the Household,The asymmetric housing wealth effect on childbirth,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2616510210,,2017,RePEc: Research Papers in Economics,Housing Wealth and Fertility: Australian Evidence,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2566527130,10.15709/hswr.2016.36.3.204,2016,Health and Social Welfare Review,Newly Married Couples‘ Housing Assets and Childbirth: Focusing on the Households Married Since 2000,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3140682174,,2021,Econstor (Econstor),"No Flat, No Child in Singapore: Cointegration Analysis of Housing, Income, and Fertility",NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4280562027,10.53383/100334,2022,International Real Estate Review,"Housing Wealth, Fertility, and Child Quality",POSITIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4402894640,10.19172/kreaa.30.3.3,2024,부동산학연구,The Effect of Housing Wealth on Fertility among Home-Owning Households,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4380303650,10.2139/ssrn.4476426,2023,SSRN Electronic Journal,"Two-Child Policy, Housing Wealth Stratification and Multi-Child Birth Rate",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4400391089,10.1016/j.jhealeco.2024.102915,2024,Journal of Health Economics,"Housing wealth, fertility and children's health in China: A regression discontinuity design",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W7171437109,10.1073/pnas.2602426123,2026,Proceedings of the National Academy of Sciences,Can stimulating ownership increase fertility: Evidence from housing interventions in China,POSITIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
