Entity,Code,Year,"Share (richest decile, before tax)"
North America (WID),,1983,34.92
North America (WID),,1984,36.04
North America (WID),,1985,36.1
North America (WID),,1986,35.93
North America (WID),,1987,37.01
North America (WID),,1988,38.71
North America (WID),,1989,38.33
North America (WID),,1990,38.38
North America (WID),,1991,38
North America (WID),,1992,39.12
North America (WID),,1993,38.9
North America (WID),,1994,38.92
North America (WID),,1995,39.7
North America (WID),,1996,40.62
North America (WID),,1997,41.39
North America (WID),,1998,41.83
North America (WID),,1999,42.1
North America (WID),,2000,42.65
North America (WID),,2001,41.85
North America (WID),,2002,41.36
North America (WID),,2003,41.52
North America (WID),,2004,42.3
North America (WID),,2005,43.42
North America (WID),,2006,44.08
North America (WID),,2007,43.83
North America (WID),,2008,43.35
North America (WID),,2009,42.2
North America (WID),,2010,43.58
North America (WID),,2011,43.95
North America (WID),,2012,45.19
North America (WID),,2013,44.53
North America (WID),,2014,45.15
North America (WID),,2015,45.11
North America (WID),,2016,44.92
North America (WID),,2017,45.02
North America (WID),,2018,45.33
North America (WID),,2019,45.22
North America (WID),,2020,44.33
North America (WID),,2021,45.79
North America (WID),,2022,46.46
North America (WID),,2023,46.4
North America (WID),,2024,46.39
North Macedonia,MKD,1984,28.39
North Macedonia,MKD,1985,27.82
North Macedonia,MKD,1986,27.37
North Macedonia,MKD,1987,28.25
North Macedonia,MKD,1988,29.55
North Macedonia,MKD,1990,26.86
North Macedonia,MKD,1996,36.27
North Macedonia,MKD,1997,34.74
North Macedonia,MKD,2000,30.17
North Macedonia,MKD,2001,31.68
North Macedonia,MKD,2002,30.32
North Macedonia,MKD,2011,34.21
North Macedonia,MKD,2012,33.73
North Macedonia,MKD,2013,33.18
North Macedonia,MKD,2014,32.71
North Macedonia,MKD,2015,32.21
North Macedonia,MKD,2016,32.11
North Macedonia,MKD,2017,32.29
North Macedonia,MKD,2018,30.97
Norway,NOR,1991,23.64
Norway,NOR,1995,27.51
Norway,NOR,2000,32.65
Norway,NOR,2004,32.97
Norway,NOR,2007,33.78
Norway,NOR,2010,32.67
Norway,NOR,2013,32.55
Norway,NOR,2016,30.64
Norway,NOR,2020,30.23
Norway,NOR,2021,30.29
Norway,NOR,2022,30.65
Oceania (WID),,1820,43.6
Oceania (WID),,1850,45.94
Oceania (WID),,1880,44.31
Oceania (WID),,1900,49.06
Oceania (WID),,1910,49.91
Oceania (WID),,1920,38.12
Oceania (WID),,1930,36.59
Oceania (WID),,1940,36.22
Oceania (WID),,1950,36.67
Oceania (WID),,1960,31.24
Oceania (WID),,1970,29.3
Oceania (WID),,1980,28.81
Oceania (WID),,1981,28.76
Oceania (WID),,1982,29.17
Oceania (WID),,1983,29.49
Oceania (WID),,1984,29.46
Oceania (WID),,1985,29.54
Oceania (WID),,1986,30.15
Oceania (WID),,1987,31.67
Oceania (WID),,1988,33.19
Oceania (WID),,1989,31.61
Oceania (WID),,1990,31.36
Oceania (WID),,1991,33.64
Oceania (WID),,1992,33.43
Oceania (WID),,1993,34.18
Oceania (WID),,1994,34.66
Oceania (WID),,1995,35.25
Oceania (WID),,1996,35.24
Oceania (WID),,1997,35.03
Oceania (WID),,1998,36.16
Oceania (WID),,1999,36.61
Oceania (WID),,2000,36.89
Oceania (WID),,2001,36.71
Oceania (WID),,2002,37.61
Oceania (WID),,2003,37.63
Oceania (WID),,2004,39.64
Oceania (WID),,2005,39.49
Oceania (WID),,2006,38.71
Oceania (WID),,2007,39.03
Oceania (WID),,2008,39.94
Oceania (WID),,2009,40.89
Oceania (WID),,2010,42.06
Oceania (WID),,2011,41.46
Oceania (WID),,2012,40.41
Oceania (WID),,2013,40.19
Oceania (WID),,2014,40.33
Oceania (WID),,2015,40
Oceania (WID),,2016,39.17
Oceania (WID),,2017,39.77
Oceania (WID),,2018,39.04
Oceania (WID),,2019,38.55
Oceania (WID),,2020,39.9
Oceania (WID),,2021,41.65
Oceania (WID),,2022,41.01
Oceania (WID),,2023,41.05
Oceania (WID),,2024,40.99
Oman,OMN,2010,56.27
Pakistan,PAK,1987,43.94
Pakistan,PAK,1990,43.04
Pakistan,PAK,1996,42.22
Pakistan,PAK,1998,45.93
Pakistan,PAK,2001,43.71
Pakistan,PAK,2005,46.88
Pakistan,PAK,2007,44.1
Pakistan,PAK,2011,43.22
Pakistan,PAK,2013,42.19
Pakistan,PAK,2015,44.1
Pakistan,PAK,2018,42.81
Palestine,PSE,1997,53
Palestine,PSE,1998,53.52
Palestine,PSE,2007,57.52
Palestine,PSE,2010,54.1
Palestine,PSE,2011,52.42
Palestine,PSE,2012,54.16
Palestine,PSE,2016,51.47
Palestine,PSE,2023,51.51
Papua New Guinea,PNG,1996,50.25
Papua New Guinea,PNG,2009,46.14
Peru,PER,2001,63.43
Peru,PER,2002,62.2
Peru,PER,2003,67.48
Peru,PER,2004,60.65
Peru,PER,2005,58.72
Peru,PER,2006,60.03
Peru,PER,2007,58.59
Peru,PER,2008,58.2
Peru,PER,2009,56.55
Peru,PER,2010,56.7
Peru,PER,2011,56.14
Peru,PER,2012,55.67
Peru,PER,2013,56.26
Peru,PER,2014,55.02
Peru,PER,2015,55.56
Peru,PER,2016,56.11
Peru,PER,2017,59.71
Peru,PER,2018,57.4
Peru,PER,2019,56.41
Peru,PER,2020,65.65
Peru,PER,2021,62.41
Peru,PER,2022,59.18
Philippines,PHL,1985,49.42
Philippines,PHL,1988,48.41
Philippines,PHL,1991,51.45
Philippines,PHL,1994,50
Philippines,PHL,1997,54.25
Philippines,PHL,2000,51.54
Philippines,PHL,2003,49.22
Philippines,PHL,2006,48.88
Philippines,PHL,2009,48.67
Philippines,PHL,2012,48.27
Philippines,PHL,2015,46.97
Philippines,PHL,2018,45.4
Poland,POL,1924,32.95
Poland,POL,1925,32.71
Poland,POL,1926,32.1
Poland,POL,1927,31.83
Poland,POL,1928,31.59
Poland,POL,1929,31.12
Poland,POL,1930,30.97
Poland,POL,1931,31.29
Poland,POL,1935,31.9
Poland,POL,1936,32.33
Poland,POL,1947,30.66
Poland,POL,1955,29.61
Poland,POL,1956,29.44
Poland,POL,1957,29.56
Poland,POL,1958,29.7
Poland,POL,1959,29.87
Poland,POL,1960,29.78
Poland,POL,1961,29.32
Poland,POL,1962,28.99
Poland,POL,1963,28.51
Poland,POL,1964,28.08
Poland,POL,1965,27.73
Poland,POL,1967,26.82
Poland,POL,1970,25.56
Poland,POL,1972,24.95
Poland,POL,1976,23.22
Poland,POL,1978,22.61
Poland,POL,1984,23.16
Poland,POL,1985,22.73
Poland,POL,1986,22.63
Poland,POL,1987,22.12
Poland,POL,1988,21.8
Poland,POL,1989,22.97
Poland,POL,1993,26.54
Poland,POL,1994,28.88
Poland,POL,1995,30.98
Poland,POL,1996,30.83
Poland,POL,1997,30.78
Poland,POL,1998,32.11
Poland,POL,1999,31.8
Poland,POL,2000,33.26
Poland,POL,2001,33.27
Poland,POL,2002,34.3
Poland,POL,2003,35.12
Poland,POL,2004,36.39
Poland,POL,2005,36.22
Poland,POL,2006,37.05
Poland,POL,2007,37.19
Poland,POL,2008,37.82
Poland,POL,2009,36.44
Poland,POL,2010,36.62
Poland,POL,2011,36.98
Poland,POL,2012,36.74
Poland,POL,2013,36.59
Poland,POL,2014,37.26
Poland,POL,2015,37.78
Poland,POL,2016,37.43
Poland,POL,2017,37.1
Poland,POL,2018,37.45
Poland,POL,2019,37.7
Poland,POL,2020,37.7
Poland,POL,2021,37.74
Poland,POL,2022,37.7
Portugal,PRT,1936,39.75
Portugal,PRT,1937,38.85
Portugal,PRT,1938,39.09
Portugal,PRT,1939,38.78
Portugal,PRT,1940,39.7
Portugal,PRT,1941,39.36
Portugal,PRT,1942,38.15
Portugal,PRT,1943,36.52
Portugal,PRT,1944,36.1
Portugal,PRT,1945,35.52
Portugal,PRT,1946,33.82
Portugal,PRT,1947,33.64
Portugal,PRT,1948,33.44
Portugal,PRT,1949,32.8
Portugal,PRT,1950,32.52
Portugal,PRT,1951,32.5
Portugal,PRT,1952,32.7
Portugal,PRT,1953,32.93
Portugal,PRT,1954,33.09
Portugal,PRT,1955,32.97
Portugal,PRT,1956,32.73
Portugal,PRT,1957,32.89
Portugal,PRT,1958,33.2
Portugal,PRT,1959,33.54
Portugal,PRT,1960,32.87
Portugal,PRT,1961,34.09
Portugal,PRT,1962,32.51
Portugal,PRT,1963,35.37
Portugal,PRT,1964,34.32
Portugal,PRT,1965,32.47
Portugal,PRT,1966,35.7
Portugal,PRT,1967,34.28
Portugal,PRT,1968,32.39
Portugal,PRT,1969,35.44
Portugal,PRT,1970,33.96
Portugal,PRT,1971,32.16
Portugal,PRT,1972,29.95
Portugal,PRT,1973,33.27
Portugal,PRT,1974,31.54
Portugal,PRT,1975,29.79
Portugal,PRT,1976,30.21
Portugal,PRT,1977,29.3
Portugal,PRT,1978,28.8
Portugal,PRT,1979,27.87
Portugal,PRT,1980,28.26
Portugal,PRT,1981,27.93
Portugal,PRT,1982,30.84
Portugal,PRT,1983,30.73
Portugal,PRT,1984,31.76
Portugal,PRT,1985,32.46
Portugal,PRT,1986,32.49
Portugal,PRT,1987,32.39
Portugal,PRT,1988,32.81
Portugal,PRT,1989,32.91
Portugal,PRT,1990,33.17
Portugal,PRT,1991,34.18
Portugal,PRT,1992,34.77
Portugal,PRT,1993,36.06
Portugal,PRT,1994,36.33
Portugal,PRT,1995,36.67
Portugal,PRT,1996,36.2
Portugal,PRT,1997,37.02
Portugal,PRT,1998,36.88
Portugal,PRT,1999,37.63
Portugal,PRT,2000,37.45
Portugal,PRT,2001,39.38
Portugal,PRT,2002,38.07
Portugal,PRT,2003,37.52
Portugal,PRT,2004,39.37
Portugal,PRT,2005,38.79
Portugal,PRT,2006,39.62
Portugal,PRT,2007,39.54
Portugal,PRT,2008,38.06
Portugal,PRT,2009,37.47
Portugal,PRT,2010,37.94
Portugal,PRT,2011,38.27
Portugal,PRT,2012,36.67
Portugal,PRT,2013,37.25
Portugal,PRT,2014,37.32
Portugal,PRT,2015,37.17
Portugal,PRT,2016,37.3
Portugal,PRT,2017,37.64
Portugal,PRT,2018,36.74
Portugal,PRT,2019,35.84
Portugal,PRT,2020,35.84
Portugal,PRT,2021,35.44
Portugal,PRT,2022,35.44
Qatar,QAT,2007,55.46
Qatar,QAT,2012,56.94
Romania,ROU,1990,25.95
Romania,ROU,1991,27.49
Romania,ROU,1992,27.85
Romania,ROU,1993,30.07
Romania,ROU,1994,31.51
Romania,ROU,1995,37.01
Romania,ROU,1998,38.58
Romania,ROU,1999,36.8
Romania,ROU,2000,36.22
Romania,ROU,2001,35.58
Romania,ROU,2002,38.01
Romania,ROU,2003,41.1
Romania,ROU,2004,40.57
Romania,ROU,2005,41.56
Romania,ROU,2006,41.36
Romania,ROU,2007,45.26
Romania,ROU,2008,45.08
Romania,ROU,2009,45.13
Romania,ROU,2010,40.17
Romania,ROU,2011,40.25
Romania,ROU,2012,42.14
Romania,ROU,2013,40.93
Romania,ROU,2014,42.69
Romania,ROU,2015,42.42
Romania,ROU,2016,38.67
Romania,ROU,2017,39.36
Romania,ROU,2018,40.93
Romania,ROU,2019,41.14
Romania,ROU,2020,41.14
Romania,ROU,2021,41.16
Romania,ROU,2022,41.1
Russia,RUS,1820,44.07
Russia,RUS,1850,44.54
Russia,RUS,1880,45.48
Russia,RUS,1900,46.88
Russia,RUS,1905,46.88
Russia,RUS,1928,22.46
Russia,RUS,1934,24.73
Russia,RUS,1956,25.64
Russia,RUS,1959,26.2
Russia,RUS,1961,25.65
Russia,RUS,1964,24.64
Russia,RUS,1966,23.22
Russia,RUS,1968,21.61
Russia,RUS,1972,21.92
Russia,RUS,1976,21.66
Russia,RUS,1980,24.73
Russia,RUS,1985,24.71
Russia,RUS,1989,24.57
Russia,RUS,1990,23.95
Russia,RUS,1991,25.01
Russia,RUS,1992,32.45
Russia,RUS,1993,34.21
Russia,RUS,1994,40.29
Russia,RUS,1995,42.3
Russia,RUS,1996,48.32
Russia,RUS,1997,45.33
Russia,RUS,1998,43.44
Russia,RUS,1999,46.52
Russia,RUS,2000,49.17
Russia,RUS,2001,49.86
Russia,RUS,2002,48.05
Russia,RUS,2003,48.07
Russia,RUS,2004,47.8
Russia,RUS,2005,47.16
Russia,RUS,2006,49.04
Russia,RUS,2007,48.67
Russia,RUS,2008,51.6
Russia,RUS,2009,49.23
Russia,RUS,2010,45.21
Russia,RUS,2011,47.74
Russia,RUS,2012,45.18
Russia,RUS,2013,47
Russia,RUS,2014,45.02
Russia,RUS,2015,44.86
Russia,RUS,2016,45.3
Russia,RUS,2017,45.09
Russia and Central Asia (WID),,1820,44.95
Russia and Central Asia (WID),,1850,45.44
Russia and Central Asia (WID),,1880,46.5
Russia and Central Asia (WID),,1900,47.71
Russia and Central Asia (WID),,1910,47.49
Russia and Central Asia (WID),,1920,24.29
Russia and Central Asia (WID),,1930,24.17
Russia and Central Asia (WID),,1940,26.24
Russia and Central Asia (WID),,1950,26.89
Russia and Central Asia (WID),,1960,26.93
Russia and Central Asia (WID),,1970,24.79
Russia and Central Asia (WID),,1980,25.9
Russia and Central Asia (WID),,1981,26
Russia and Central Asia (WID),,1982,26.07
Russia and Central Asia (WID),,1983,26.11
Russia and Central Asia (WID),,1984,26.13
Russia and Central Asia (WID),,1985,26.23
Russia and Central Asia (WID),,1986,26.4
Russia and Central Asia (WID),,1987,26.35
Russia and Central Asia (WID),,1988,26.33
Russia and Central Asia (WID),,1989,26.39
Russia and Central Asia (WID),,1990,25.94
Russia and Central Asia (WID),,1991,28.11
Russia and Central Asia (WID),,1992,35.76
Russia and Central Asia (WID),,1993,37.87
Russia and Central Asia (WID),,1994,42.95
Russia and Central Asia (WID),,1995,46.18
Russia and Central Asia (WID),,1996,50.87
Russia and Central Asia (WID),,1997,48.33
Russia and Central Asia (WID),,1998,45.81
Russia and Central Asia (WID),,1999,48.15
Russia and Central Asia (WID),,2000,50.78
Russia and Central Asia (WID),,2001,51.39
Russia and Central Asia (WID),,2002,49.89
Russia and Central Asia (WID),,2003,49.78
Russia and Central Asia (WID),,2004,49.43
Russia and Central Asia (WID),,2005,48.75
Russia and Central Asia (WID),,2006,50.29
Russia and Central Asia (WID),,2007,50.27
Russia and Central Asia (WID),,2008,51.14
Russia and Central Asia (WID),,2009,49.25
Russia and Central Asia (WID),,2010,46.2
Russia and Central Asia (WID),,2011,48.05
Russia and Central Asia (WID),,2012,46.42
Russia and Central Asia (WID),,2013,47.64
Russia and Central Asia (WID),,2014,46.51
Russia and Central Asia (WID),,2015,46.34
Russia and Central Asia (WID),,2016,46.65
Russia and Central Asia (WID),,2017,46.42
Russia and Central Asia (WID),,2018,46.77
Russia and Central Asia (WID),,2019,47.01
Russia and Central Asia (WID),,2020,50.28
Russia and Central Asia (WID),,2021,50.62
Russia and Central Asia (WID),,2022,50.72
Russia and Central Asia (WID),,2023,50.6
Russia and Central Asia (WID),,2024,50.43
Rwanda,RWA,2000,59.84
Rwanda,RWA,2005,62.87
Rwanda,RWA,2010,58.98
Rwanda,RWA,2013,56.97
Rwanda,RWA,2016,53.94
Rwanda,RWA,2023,52.21
Sao Tome and Principe,STP,2000,39.69
Sao Tome and Principe,STP,2010,39.38
Sao Tome and Principe,STP,2017,50.61
Saudi Arabia,SAU,1820,49.95
Saudi Arabia,SAU,1850,51.01
Saudi Arabia,SAU,1880,52.08
Saudi Arabia,SAU,1900,53.35
Saudi Arabia,SAU,1910,57.13
Saudi Arabia,SAU,1920,58.52
Saudi Arabia,SAU,1930,58.52
Saudi Arabia,SAU,1940,58.03
Saudi Arabia,SAU,1950,51.77
Saudi Arabia,SAU,1960,58.09
Saudi Arabia,SAU,1970,64.47
Saudi Arabia,SAU,2011,52.05
Senegal,SEN,1991,60.87
Senegal,SEN,1994,49.4
Senegal,SEN,2001,51.82
Senegal,SEN,2005,46.77
Senegal,SEN,2011,47.71
Senegal,SEN,2018,48.21
Senegal,SEN,2021,45.72
Serbia,SRB,1984,32.41
Serbia,SRB,1985,30.35
Serbia,SRB,1986,30.59
Serbia,SRB,1987,31.87
Serbia,SRB,1988,31.61
Serbia,SRB,1990,30.76
Serbia,SRB,1998,33.75
Serbia,SRB,2001,35.87
Serbia,SRB,2007,39.64
Serbia,SRB,2008,39.43
Serbia,SRB,2009,38.08
Serbia,SRB,2010,38.44
Serbia,SRB,2011,38.65
Serbia,SRB,2012,40.22
Serbia,SRB,2013,40.36
Serbia,SRB,2014,42.12
Serbia,SRB,2015,40.66
Serbia,SRB,2016,41.77
Serbia,SRB,2017,37.34
Serbia,SRB,2018,35.33
Serbia,SRB,2019,37.86
Serbia,SRB,2020,37.86
Serbia,SRB,2021,37.98
Serbia,SRB,2022,38.65
Seychelles,SYC,1955,60.77
Seychelles,SYC,1961,63.21
Seychelles,SYC,1962,62.48
Seychelles,SYC,1963,62.31
Seychelles,SYC,1964,61.59
Seychelles,SYC,1965,60.83
Seychelles,SYC,1966,60.61
Seychelles,SYC,1967,59.86
Seychelles,SYC,1968,59.19
Seychelles,SYC,1969,58.99
Seychelles,SYC,1970,57.6
Seychelles,SYC,1971,57.04
Seychelles,SYC,1999,52.63
Seychelles,SYC,2006,52.09
Seychelles,SYC,2013,60.2
Seychelles,SYC,2018,38.65
Sierra Leone,SLE,2003,48.98
Sierra Leone,SLE,2011,42.95
Sierra Leone,SLE,2018,47
Singapore,SGP,1947,32.12
Singapore,SGP,1948,32.02
Singapore,SGP,1949,31.98
Singapore,SGP,1950,32.32
Singapore,SGP,1951,32.15
Singapore,SGP,1952,31.89
Singapore,SGP,1953,32.35
Singapore,SGP,1954,32.19
Singapore,SGP,1956,32.39
Singapore,SGP,1957,32.24
Singapore,SGP,1958,32.05
Singapore,SGP,1959,32.48
Singapore,SGP,1960,32.15
Singapore,SGP,1961,32.08
Singapore,SGP,1962,31.89
Singapore,SGP,1963,32.16
Singapore,SGP,1964,32.2
Singapore,SGP,1965,31.96
Singapore,SGP,1966,31.97
Singapore,SGP,1967,31.9
Singapore,SGP,1968,31.99
Singapore,SGP,1969,32.89
Singapore,SGP,1970,34.15
Singapore,SGP,1971,33.78
Singapore,SGP,1972,34.89
Singapore,SGP,1973,34.66
Singapore,SGP,1974,34.34
Singapore,SGP,1975,35.04
Singapore,SGP,1976,34.89
Singapore,SGP,1977,33.99
Singapore,SGP,1978,35.08
Singapore,SGP,1979,37.43
Singapore,SGP,1980,35.53
Singapore,SGP,1981,35.61
Singapore,SGP,1982,36.49
Singapore,SGP,1983,35.6
Singapore,SGP,1984,35.09
Singapore,SGP,1985,36.96
Singapore,SGP,1986,36.28
Singapore,SGP,1987,38.53
Singapore,SGP,1988,36.78
Singapore,SGP,1989,37.31
Singapore,SGP,1990,37.66
Singapore,SGP,1991,35.83
Singapore,SGP,1992,35.43
Singapore,SGP,1993,35.4
Singapore,SGP,1994,33.6
Singapore,SGP,1995,33.45
Singapore,SGP,1996,35.11
Singapore,SGP,1997,35.16
Singapore,SGP,1998,37.04
Singapore,SGP,1999,40.41
Singapore,SGP,2000,41.99
Singapore,SGP,2001,46.34
Singapore,SGP,2002,46.1
Singapore,SGP,2003,44.71
Singapore,SGP,2004,42.5
Singapore,SGP,2005,41.67
Singapore,SGP,2006,42.96
Singapore,SGP,2007,41.93
Singapore,SGP,2008,46.74
Singapore,SGP,2009,44.8
Singapore,SGP,2010,43.36
Singapore,SGP,2011,45.12
Singapore,SGP,2012,44.97
Singapore,SGP,2013,45.26
Singapore,SGP,2014,46.17
Slovakia,SVK,1980,22.91
Slovakia,SVK,1985,22.42
Slovakia,SVK,1988,23.38
Slovakia,SVK,1992,23.8
Slovakia,SVK,1997,25.92
Slovakia,SVK,1998,26.94
Slovakia,SVK,1999,27.91
Slovakia,SVK,2000,27.89
Slovakia,SVK,2001,29.51
Slovakia,SVK,2002,29.66
Slovakia,SVK,2003,28.98
Slovakia,SVK,2004,31.16
Slovakia,SVK,2008,29.98
Slovakia,SVK,2009,29.86
Slovakia,SVK,2010,32.07
Slovakia,SVK,2011,30.38
Slovakia,SVK,2012,29.79
Slovakia,SVK,2013,32.85
Slovakia,SVK,2014,30.17
Slovakia,SVK,2015,31.7
Slovakia,SVK,2016,29.47
Slovakia,SVK,2017,27.47
Slovakia,SVK,2018,27.5
Slovakia,SVK,2019,26.78
Slovakia,SVK,2020,26.78
Slovakia,SVK,2021,26.78
Slovakia,SVK,2022,26.78
Slovenia,SVN,1992,23.57
Slovenia,SVN,1993,26.65
Slovenia,SVN,1994,26.11
Slovenia,SVN,1995,28.02
Slovenia,SVN,1996,28.82
Slovenia,SVN,1997,28.84
Slovenia,SVN,1998,28.97
Slovenia,SVN,1999,30.01
Slovenia,SVN,2000,29
Slovenia,SVN,2001,28.67
Slovenia,SVN,2002,29.23
Slovenia,SVN,2003,30.14
Slovenia,SVN,2004,30.18
Slovenia,SVN,2005,30.27
Slovenia,SVN,2006,30.31
Slovenia,SVN,2007,30.37
Slovenia,SVN,2008,30.41
Slovenia,SVN,2009,29.78
Slovenia,SVN,2010,29.85
Slovenia,SVN,2011,29.26
Slovenia,SVN,2012,29.47
Slovenia,SVN,2013,29.3
Slovenia,SVN,2014,29.96
Slovenia,SVN,2015,29.02
Slovenia,SVN,2016,29.39
Slovenia,SVN,2017,29.47
Slovenia,SVN,2018,29.6
Slovenia,SVN,2019,29.57
Slovenia,SVN,2020,29.57
Slovenia,SVN,2021,29.57
Slovenia,SVN,2022,29.61
South Africa,ZAF,1993,46.35
South Africa,ZAF,2000,53.58
South Africa,ZAF,2005,59.06
South Africa,ZAF,2008,60.06
South Africa,ZAF,2010,61.43
South Africa,ZAF,2014,65.41
South Korea,KOR,1982,32.24
South Korea,KOR,1991,30.84
South Korea,KOR,1996,25.94
South Korea,KOR,2000,28.77
South Korea,KOR,2007,35.65
South Korea,KOR,2008,36.3
South Korea,KOR,2009,36.05
South Korea,KOR,2010,38.37
South Korea,KOR,2011,37.77
South Korea,KOR,2012,37.34
South Korea,KOR,2013,35.7
South Korea,KOR,2014,36.07
South Korea,KOR,2015,36.94
South Korea,KOR,2016,37.7
South Korea,KOR,2017,38.5
South Korea,KOR,2018,38.21
South Korea,KOR,2019,36.77
South Korea,KOR,2020,37.39
South Korea,KOR,2021,38.31
South Korea,KOR,2022,37.76
South Sudan,SSD,2009,49.39
South Sudan,SSD,2016,50.01
South and South-East Asia (WID),,1820,48.85
South and South-East Asia (WID),,1850,49.52
South and South-East Asia (WID),,1880,52.81
South and South-East Asia (WID),,1900,52.38
South and South-East Asia (WID),,1910,46.6
South and South-East Asia (WID),,1920,52.15
South and South-East Asia (WID),,1930,48.48
South and South-East Asia (WID),,1940,52.02
South and South-East Asia (WID),,1950,40.26
South and South-East Asia (WID),,1960,43.44
South and South-East Asia (WID),,1970,45.92
South and South-East Asia (WID),,1980,45.47
South and South-East Asia (WID),,1981,44.9
South and South-East Asia (WID),,1982,44.78
South and South-East Asia (WID),,1983,46.88
South and South-East Asia (WID),,1984,45.9
South and South-East Asia (WID),,1985,46.37
South and South-East Asia (WID),,1986,46.38
South and South-East Asia (WID),,1987,46.56
South and South-East Asia (WID),,1988,47.17
South and South-East Asia (WID),,1989,47.52
South and South-East Asia (WID),,1990,47.09
South and South-East Asia (WID),,1991,47.82
South and South-East Asia (WID),,1992,48.66
South and South-East Asia (WID),,1993,49.78
South and South-East Asia (WID),,1994,50.66
South and South-East Asia (WID),,1995,50.88
South and South-East Asia (WID),,1996,50.96
South and South-East Asia (WID),,1997,50.51
South and South-East Asia (WID),,1998,48.88
South and South-East Asia (WID),,1999,48.85
South and South-East Asia (WID),,2000,48.96
South and South-East Asia (WID),,2001,49.32
South and South-East Asia (WID),,2002,49.84
South and South-East Asia (WID),,2003,50.38
South and South-East Asia (WID),,2004,51.02
South and South-East Asia (WID),,2005,51.66
South and South-East Asia (WID),,2006,51.98
South and South-East Asia (WID),,2007,52.34
South and South-East Asia (WID),,2008,53.57
South and South-East Asia (WID),,2009,53.85
South and South-East Asia (WID),,2010,54.11
South and South-East Asia (WID),,2011,55.14
South and South-East Asia (WID),,2012,55.44
South and South-East Asia (WID),,2013,54.97
South and South-East Asia (WID),,2014,55.52
South and South-East Asia (WID),,2015,55.87
South and South-East Asia (WID),,2016,55.89
South and South-East Asia (WID),,2017,55.49
South and South-East Asia (WID),,2018,55.87
South and South-East Asia (WID),,2019,55.84
South and South-East Asia (WID),,2020,55.41
South and South-East Asia (WID),,2021,55.66
South and South-East Asia (WID),,2022,55.89
South and South-East Asia (WID),,2023,56.15
South and South-East Asia (WID),,2024,56.09
Spain,ESP,1982,34.89
Spain,ESP,1983,34.83
Spain,ESP,1984,34.93
Spain,ESP,1985,35.17
Spain,ESP,1986,36.36
Spain,ESP,1987,36.43
Spain,ESP,1988,36.72
Spain,ESP,1989,37.34
Spain,ESP,1990,36.7
Spain,ESP,1991,36.01
Spain,ESP,1992,35.26
Spain,ESP,1993,34.68
Spain,ESP,1994,35.24
Spain,ESP,1995,35.52
Spain,ESP,1996,35.37
Spain,ESP,1997,34.3
Spain,ESP,1998,34.39
Spain,ESP,1999,34.65
Spain,ESP,2000,34.24
Spain,ESP,2001,33.69
Spain,ESP,2002,33.96
Spain,ESP,2003,34.2
Spain,ESP,2004,34.03
Spain,ESP,2005,33.71
Spain,ESP,2006,34.68
Spain,ESP,2007,34.57
Spain,ESP,2008,34.8
Spain,ESP,2009,35.88
Spain,ESP,2010,34.33
Spain,ESP,2011,34.06
Spain,ESP,2012,34.64
Spain,ESP,2015,35.32
Spain,ESP,2016,35.11
Spain,ESP,2017,35.07
Spain,ESP,2018,34.65
Spain,ESP,2019,34.12
Spain,ESP,2020,34.12
Spain,ESP,2021,34.27
Spain,ESP,2022,34.25
Sri Lanka,LKA,1985,42.23
Sri Lanka,LKA,1990,44.62
Sri Lanka,LKA,1995,45.3
Sri Lanka,LKA,2002,50.58
Sri Lanka,LKA,2006,49.68
Sri Lanka,LKA,2009,46.42
Sri Lanka,LKA,2012,48.66
Sri Lanka,LKA,2016,48.98
Sub-Saharan Africa (WID),,1820,51.77
Sub-Saharan Africa (WID),,1850,52.75
Sub-Saharan Africa (WID),,1880,55.93
Sub-Saharan Africa (WID),,1900,55
Sub-Saharan Africa (WID),,1910,57.69
Sub-Saharan Africa (WID),,1920,58.54
Sub-Saharan Africa (WID),,1930,59.92
Sub-Saharan Africa (WID),,1940,60.98
Sub-Saharan Africa (WID),,1950,61.74
Sub-Saharan Africa (WID),,1960,65.24
Sub-Saharan Africa (WID),,1970,65.54
Sub-Saharan Africa (WID),,1980,58.3
Sub-Saharan Africa (WID),,1981,58.34
Sub-Saharan Africa (WID),,1982,58.46
Sub-Saharan Africa (WID),,1983,58.52
Sub-Saharan Africa (WID),,1984,58.86
Sub-Saharan Africa (WID),,1985,58.17
Sub-Saharan Africa (WID),,1986,57.7
Sub-Saharan Africa (WID),,1987,57.96
Sub-Saharan Africa (WID),,1988,57.95
Sub-Saharan Africa (WID),,1989,58.01
Sub-Saharan Africa (WID),,1990,57.99
Sub-Saharan Africa (WID),,1991,58.72
Sub-Saharan Africa (WID),,1992,58.94
Sub-Saharan Africa (WID),,1993,57.95
Sub-Saharan Africa (WID),,1994,58.04
Sub-Saharan Africa (WID),,1995,58.32
Sub-Saharan Africa (WID),,1996,58.32
Sub-Saharan Africa (WID),,1997,58.48
Sub-Saharan Africa (WID),,1998,58.16
Sub-Saharan Africa (WID),,1999,57.9
Sub-Saharan Africa (WID),,2000,58.19
Sub-Saharan Africa (WID),,2001,58.38
Sub-Saharan Africa (WID),,2002,58.57
Sub-Saharan Africa (WID),,2003,58.42
Sub-Saharan Africa (WID),,2004,58.03
Sub-Saharan Africa (WID),,2005,58.22
Sub-Saharan Africa (WID),,2006,58.21
